locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDJNIECG_00001	CDS	1341	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
DDJNIECG_00002	CDS	1137	dnaN		COG0592	Beta sliding clamp
DDJNIECG_00003	CDS	216				hypothetical protein
DDJNIECG_00004	CDS	1113	recF		COG1195	DNA replication and repair protein RecF
DDJNIECG_00005	CDS	246				hypothetical protein
DDJNIECG_00006	CDS	1923	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
DDJNIECG_00007	CDS	2466	gyrA	5.99.1.3	COG0188	DNA gyrase subunit A
DDJNIECG_00008	CDS	255				hypothetical protein
DDJNIECG_00009	tRNA	77				tRNA-Ile(gat)
DDJNIECG_00010	tRNA	76				tRNA-Ala(tgc)
DDJNIECG_00011	CDS	948				hypothetical protein
DDJNIECG_00012	CDS	1467	guaB_1	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
DDJNIECG_00013	CDS	1332	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
DDJNIECG_00014	CDS	885	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
DDJNIECG_00015	CDS	591	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
DDJNIECG_00016	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
DDJNIECG_00017	tRNA	93				tRNA-Ser(tga)
DDJNIECG_00018	CDS	654	dck	2.7.1.74	COG1428	Deoxyadenosine/deoxycytidine kinase
DDJNIECG_00019	CDS	624	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
DDJNIECG_00020	CDS	1284	yaaH		COG3858	Spore germination protein YaaH
DDJNIECG_00021	CDS	546	vibB	3.3.2.1	COG1535	Vibriobactin-specific isochorismatase
DDJNIECG_00022	CDS	486	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
DDJNIECG_00023	CDS	1692				hypothetical protein
DDJNIECG_00024	CDS	324			COG0718	Nucleoid-associated protein
DDJNIECG_00025	CDS	597	recR		COG0353	Recombination protein RecR
DDJNIECG_00026	CDS	225				hypothetical protein
DDJNIECG_00027	CDS	264	bofA			Sigma-K factor-processing regulatory protein BofA
DDJNIECG_00028	CDS	255				hypothetical protein
DDJNIECG_00029	tRNA	77				tRNA-Ile(gat)
DDJNIECG_00030	tRNA	76				tRNA-Ala(tgc)
DDJNIECG_00031	CDS	195	csfB			Anti-sigma-G factor Gin
DDJNIECG_00032	CDS	615				hypothetical protein
DDJNIECG_00033	CDS	1161				TelA-like protein
DDJNIECG_00034	CDS	1443	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
DDJNIECG_00035	CDS	639	tmk	2.7.4.9		Thymidylate kinase
DDJNIECG_00036	CDS	330	yaaQ		COG3870	putative protein YaaQ
DDJNIECG_00037	CDS	441				hypothetical protein
DDJNIECG_00038	CDS	990				hypothetical protein
DDJNIECG_00039	CDS	828				hypothetical protein
DDJNIECG_00040	CDS	360	yabA		COG4467	Initiation-control protein YabA
DDJNIECG_00041	CDS	744	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
DDJNIECG_00042	CDS	300				hypothetical protein
DDJNIECG_00043	CDS	879	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
DDJNIECG_00044	CDS	285	abrB		COG2002	Transition state regulatory protein AbrB
DDJNIECG_00045	CDS	1995	metG	6.1.1.10		Methionine--tRNA ligase
DDJNIECG_00046	CDS	768	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
DDJNIECG_00047	CDS	1314				hypothetical protein
DDJNIECG_00048	CDS	561	rnmV_1	3.1.26.8	COG1658	Ribonuclease M5
DDJNIECG_00049	CDS	879	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
DDJNIECG_00050	CDS	891	yabG	3.4.-.-		Sporulation-specific protease YabG
DDJNIECG_00051	CDS	261	veg		COG4466	Protein Veg
DDJNIECG_00052	CDS	186				hypothetical protein
